ticker,report_pair_id,alignment_change_signal_quality,alignment_change_primary_eligible,ambiguous_alignment_share,collision_flagged_word_share,unmatched_word_share,low_confidence_share,alignment_change_analyzed_words_all,alignment_change_analyzed_words_excl_ambiguous,alignment_change_analyzed_words_hml,alignment_change_analyzed_words_hm,alignment_change_analyzed_words_h,alignment_change_warning_reasons,alignment_change_exclusion_reasons
KP2,393f45ef-e61e-47f4-8ea5-f299cb518d79,USABLE,True,0.06466885343354245,0.578145069689925,0.3070390539579419,0.5930555555555556,94203.0,88111.0,33175.0,31729.0,31729.0,alignment run completed with warnings: 143 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW,
KP2,6b6ff484-ea7d-4b87-9768-2d51318ec849,USABLE,True,0.03739503286611383,0.50980741610492,0.38238963380754193,0.564673157162726,95387.0,91820.0,43191.0,42693.0,42693.0,alignment run completed with warnings: 84 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW,
KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,USABLE,True,0.03899002656678716,0.5430839249161622,0.34753495056835504,0.6492537313432836,91844.0,88263.0,38384.0,37789.0,37144.0,alignment run completed with warnings: 106 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW,
KP2,4304dbf2-4d9f-4c85-91dc-6913ab4f6739,USABLE,True,0.03658109940088337,0.5813399221585691,0.31459089517645517,0.5690440060698028,91468.0,88122.0,34948.0,34297.0,34297.0,alignment run completed with warnings: 67 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW,
KP2,3be59506-3d38-4040-a4fa-da7bd764ab81,USABLE,True,0.027861665854846566,0.6036477783189912,0.3061211235590193,0.5565092989985694,92385.0,89811.0,34043.0,33760.0,33760.0,"alignment run completed with warnings: 89 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW; collision-flagged word share 0.60 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
SBP,0594cd10-bac7-4150-8f96-6d1218bd03eb,USABLE,True,0.030002744990392533,0.8260225089212188,0.0456491902278342,0.8018433179723502,36430.0,35337.0,4705.0,4705.0,4705.0,"alignment run completed with warnings: 18 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW; collision-flagged word share 0.83 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
SBP,d1b5fcd2-1fa7-4511-8a01-e5743baa9bc3,NEEDS_REVIEW,False,0.011205509610770837,0.8861384741313613,0.024019870727370232,0.8293838862559242,35429.0,35032.0,3637.0,3162.0,2820.0,collision-flagged word share 0.89 exceeds tolerance (0.85); alignment run completed with warnings: 11 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW,alignment-change quality is NEEDS_REVIEW
SDL,60caa2a3-661d-4ee2-92ef-539768f8068c,USABLE,True,0.0424833828312827,0.654136614340263,0.1762409843020789,0.6094986807387863,35355.0,33853.0,10231.0,10231.0,10072.0,"alignment run completed with warnings: 54 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW; collision-flagged word share 0.65 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
SUR,2c91bda6-fee7-4796-852e-7ccebc4e8add,USABLE,True,0.03582045908670013,0.7094806439560083,0.169875075133616,0.39237137788290954,123114.0,118704.0,30403.0,27462.0,26288.0,"alignment run completed with warnings: 330 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW; collision-flagged word share 0.71 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,USABLE,True,0.050446572156659,0.7725822014399168,0.10725154011727157,0.4406721536351166,121257.0,115140.0,20667.0,19799.0,18459.0,"alignment run completed with warnings: 361 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW; collision-flagged word share 0.77 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
